#id	category	type	input	expect	forbid	timeout
l03	robustness	ask	xyzzy plugh quux frobnicate	\[state\]|don't|couldn't|no relevant|nothing	-	180
l04	robustness	ask	What is my blood type?	don't|couldn't|no |\[state\]|not.*(know|have|find)	blood type is (a|b|ab|o)\b	180
l05	robustness	ask	What will the weather be tomorrow?	don't|can't|couldn't|not|\[state\]	sunny|rain expected|degrees	180
l06	robustness	ask	?	\[done\]|\[state\]	\[error\]	180
l07	robustness	ask	What does 🚀 mean in my notes?	\[done\]|\[state\]	\[error\]	180
l08	robustness	ask	Tell me absolutely everything you know about every single topic in all of my files and notes and documents including every project every date every person every number and every decision ever recorded anywhere in my entire corpus of knowledge	\[done\]|\[state\]	\[error\]	180
m01	cache	cache	What is my favorite build tool?	bazel	-	240
m02	consistency	ask	What is my favorite build tool?	bazel	-	180
m03	consistency	ask	How many weeks did the Aurora migration slip?	four|4	-	180
m04	consistency	ask	WHAT IS MY FAVORITE BUILD TOOL?	bazel	-	180
n01	time-aware	ask	What happened in my job search in May?	prune|archive|reset|research|leads|applications	-	180
n02	time-aware	ask	What did I add to my notes recently?	\[answer\]	\[error\]	180
n03	time-aware	ask	What changed in my notes yesterday?	\[done\]|\[state\]	\[error\]	180
p01	search-quality	ask	What do the pyparsing best practices say about planning?	ambiguous|parser|grammar|target language	-	180
p02	search-quality	ask	How do I extend the debugger according to my notes?	sys\.path|namespace|pythonpath	-	180
p03	search-quality	ask	What error type does the Kinora error envelope example show?	book_not_found	-	180
p04	search-quality	ask	Who holds the 2012-2023 copyright in my license files?	waskom	-	180
p05	search-quality	ask	Which of my files mentions the Contributor Covenant?	code.of.conduct|code_of_conduct	-	180
p06	search-quality	ask	What are my universal answer candidates for job applications?	email|rishabh|phone	-	180
p07	search-quality	ask	How many strong candidates does the dashboard snapshot show?	42	-	180
p08	search-quality	ask	What wallet address is used for the RustChain bounty?	c4c7r9	-	180
o01	invariants	shell	lsof -iTCP -sTCP:LISTEN -n -P 2>/dev/null | grep -E ':6767|:11434' | grep -v 127.0.0.1 | wc -l | tr -d ' '	^0$	-	30
o02	invariants	shell	wc -l < /tmp/usecase-run/egress-violations.txt | tr -d ' '	^0$	-	30
o03	invariants	shell	pgrep -f 'debug/MnemoApp' >/dev/null && echo APP_ALIVE	app_alive	-	30
o04	invariants	shell	curl -s -o /dev/null -w '%{http_code}' -X POST http://127.0.0.1:6767/v3/documents/list -H 'Content-Type: application/json' -H "Authorization: Bearer $(cat ~/.supermemory/data/api-key)" -d '{"page":1,"limit":1}'	200	-	30
o05	invariants	shell	curl -s -o /dev/null -w '%{http_code}' http://127.0.0.1:11434/api/version	200	-	30
